CODICE_INTERNO;ISIN;DESCRIZIONE;CODICE_ENTITA;DESCRIZIONE_ENTITA;CODICE_GRUPPO;DESCRIZIONE_GRUPPO;CODICE_SOTTOGRUPPO;DESCRIZIONE_SOTTOGRUPPO;CODICE_FAMIGLIA_PRODOTTO;DESCRIZIONE_FAMIGLIA_PRODOTTO;CODICE_LIVELLO_COMPLESSITA;DESCR_LIVELLO_COMPLESSITA;DATA_EMISSIONE;DATA_SCADENZA;ILLIQUIDO;OFFERTA_ATTIVA;OMD_PUNTUALE;OMD_CLASSE;COSTO_STRUMENTO;HP_PUNTUALE;HP_CLASSE;TIPO_EMITTENTE;NOME_EMITTENTE;CODICE_EMITTENTE;DIVISA;QUOTATO;FLAG_TITOLO_MLR;PERIMETRO_PTF;STRUMENTO_MIFID;FIDT;CODICE_TIPO;DATA_INIZIO_EMISSIONE;DATA_FINE_EMISSIONE;LIQUIDABILITA;DS_MERCATO;IN_POSIZIONE;CODICE_PARENT_COMPANY;DESCRIZIONE_PARENT_COMPANY;FLAG_CONTROLLO_EMITTENTE;QUALITA_PRODOTTO;TIPOLOGIA_POLIZZA;PRODOTTO_CEDOLA;CODRAGGRUPPAMENTO;IS_ESG
479;CDMPS04FXEUR;Fittizio CD e DT;V;CD - DT;;CD - DT;;CD - DT;XY999;Fittizi;1;Non Complesso;;20991231;0;0;;;0;;;;;;;0;0;1;1;1;;;;.100;;0;00000191078;Banca Monte dei Paschi di Siena SpA;1;;;1;;0
480;CDMPS09FXEUR;Fittizio CD e DT;V;CD - DT;;CD - DT;;CD - DT;XY999;Fittizi;1;Non Complesso;;20991231;0;0;;;0;;;;;;;0;0;1;1;1;;;;.100;;0;00000191078;Banca Monte dei Paschi di Siena SpA;1;;;1;;0
481;CDMPS13FXEUR;Fittizio CD e DT;V;CD - DT;;CD - DT;;CD - DT;XY999;Fittizi;1;Non Complesso;;20991231;0;0;;;0;;;;;;;0;0;1;1;1;;;;.100;;0;00000191078;Banca Monte dei Paschi di Siena SpA;1;;;1;;0
482;CDMPS24FXEUR;Fittizio CD e DT;V;CD - DT;;CD - DT;;CD - DT;XY999;Fittizi;1;Non Complesso;;20991231;0;0;;;0;;;;;;;0;0;1;1;1;;;;.100;;0;00000191078;Banca Monte dei Paschi di Siena SpA;1;;;1;;0
483;CDMPS36FXEUR;Fittizio CD e DT;V;CD - DT;;CD - DT;;CD - DT;XY999;Fittizi;1;Non Complesso;;20991231;0;0;;;0;;;;;;;0;0;1;1;1;;;;.100;;0;00000191078;Banca Monte dei Paschi di Siena SpA;1;;;1;;0
484;CDMPS09FXEUR;Fittizio CD e DT;V;CD - DT;;CD - DT;;CD - DT;XY999;Fittizi;1;Non Complesso;;20991231;0;0;;;0;;;;;;;0;0;1;1;1;;;;.100;;0;00000191078;Banca Monte dei Paschi di Siena SpA;1;;;1;;0
485;CDMPS13FXEUR;Fittizio CD e DT;V;CD - DT;;CD - DT;;CD - DT;XY999;Fittizi;1;Non Complesso;;20991231;0;0;;;0;;;;;;;0;0;1;1;1;;;;.100;;0;00000191078;Banca Monte dei Paschi di Siena SpA;1;;;1;;0
486;CDMPS09FXEUR;Fittizio CD e DT;V;CD - DT;;CD - DT;;CD - DT;XY999;Fittizi;1;Non Complesso;;20991231;0;0;;;0;;;;;;;0;0;1;1;1;;;;.100;;0;00000191078;Banca Monte dei Paschi di Siena SpA;1;;;1;;0
AF 00000001561;BMPS00170842;HANG SENG IDX FUT;;;;;;;RC00050;DERIV,WAR, C.W.;7;NM;20101231;20990225;0;0;;;0;;;ALTRO;EMITTENTE TITOLI ESTERI HONG KONG;0010138;HKD;1;0;1;1;0;;;;11;HONG KONG FUTURES EXCHANGE LTD.;0;09999999026;EMITTENTE TITOLI ESTERI HONG KONG;0;;;0;;1
AF 00000001563;BMPS00170844;FTSE MIB GENERIC FUT;;;;;;;RC00050;DERIV,WAR, C.W.;7;NM;;20990930;0;0;;;0;;;ALTRO;CASSA DI COMPENSAZIONE E GARANZIA S.P.A.;0001158;EUR;1;0;1;1;0;;;;11;Euronext Milan;0;00001422780;EURONEXT N.V.;0;;;0;;1
